].pos_y				= -2.162401 
=888=R=Obstacles[0].pos_x				= -1.402665 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 16 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -3.394576 
=888=R=Obstacles[0].pos_x				= -6.742559 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 20 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -3.110361 
=888=R=Obstacles[0].pos_x				= -3.801473 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 237 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -2.198547 
=888=R=Obstacles[0].pos_x				= 2.942245 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 252 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -2.004303 
=888=R=Obstacles[0].pos_x				= 4.518518 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 253 
=888=R=Obstacles[0].type					= 1 
